data,time,value.rxInfo.0.rssi,,
5/25/2023,9:42:55,-85,,
5/25/2023,9:52:55,-107,,
5/25/2023,10:02:55,-103,,
5/25/2023,10:12:55,-103,,
5/25/2023,10:42:55,-101,,
5/25/2023,10:52:56,-97,,
5/25/2023,11:02:56,-100,,
5/25/2023,11:12:56,-107,,
5/25/2023,11:22:56,-114,,
5/25/2023,11:32:57,-113,,
5/25/2023,11:52:56,-115,,
5/25/2023,12:22:57,-114,,
5/25/2023,12:32:57,-100,,
5/25/2023,12:42:57,-112,,
5/25/2023,12:52:57,-109,,
5/25/2023,13:12:57,-117,,
5/25/2023,13:22:57,-113,,
5/25/2023,13:52:58,-106,,
5/25/2023,14:02:58,-107,,
5/25/2023,14:12:58,-107,,
5/25/2023,14:42:58,-117,,
5/25/2023,15:22:58,-108,,
5/25/2023,15:32:59,-114,,
5/25/2023,16:22:59,-117,,
5/25/2023,16:42:59,-119,,
5/25/2023,16:52:59,-111,,
5/25/2023,18:03:00,-112,,
5/25/2023,19:03:01,-105,,
5/25/2023,19:13:01,-117,,
5/25/2023,19:23:01,-111,,
5/25/2023,19:33:01,-109,,
5/25/2023,20:03:02,-111,,
5/25/2023,20:23:02,-113,,
5/25/2023,20:33:02,-111,,
5/25/2023,20:43:02,-109,,
5/25/2023,20:53:02,-113,,
5/25/2023,21:13:02,-116,,
5/25/2023,21:23:02,-117,,
5/25/2023,21:43:02,-114,,
5/25/2023,21:53:03,-111,,
5/25/2023,22:03:03,-109,,
5/25/2023,22:13:03,-113,,
5/25/2023,22:43:03,-113,,
5/25/2023,22:53:03,-103,,
5/25/2023,23:13:04,-101,,
5/25/2023,23:23:04,-118,,
5/26/2023,0:03:04,-115,,
5/26/2023,0:13:04,-101,,
5/26/2023,0:23:04,-119,,
5/26/2023,0:33:05,-115,,
5/26/2023,0:43:05,-117,,
5/26/2023,0:53:05,-117,,
5/26/2023,1:03:05,-93,,
5/26/2023,1:23:05,-119,,
5/26/2023,1:33:05,-106,,
5/26/2023,1:43:05,-117,,
5/26/2023,1:53:05,-115,,
5/26/2023,2:03:06,-115,,
5/26/2023,2:13:06,-115,,
5/26/2023,2:33:06,-114,,
5/26/2023,2:43:06,-115,,
5/26/2023,3:03:06,-101,,
5/26/2023,3:13:06,-114,,
5/26/2023,3:23:06,-111,,
5/26/2023,3:33:06,-112,,
5/26/2023,4:03:07,-117,,
5/26/2023,4:13:07,-92,,
5/26/2023,4:23:07,-114,,
5/26/2023,4:43:07,-119,,
5/26/2023,4:53:08,-113,,
5/26/2023,5:13:08,-114,,
5/26/2023,5:23:08,-97,,
5/26/2023,5:43:08,-95,,
5/26/2023,5:53:08,-115,,
5/26/2023,6:03:08,-107,,
5/26/2023,6:33:09,-114,,
5/26/2023,6:53:09,-93,,
5/26/2023,7:13:09,-95,,
5/26/2023,7:23:09,-117,,
5/26/2023,7:33:09,-114,,
5/26/2023,7:53:10,-115,,
5/26/2023,8:03:10,-90,,
5/26/2023,8:43:10,-104,,
5/26/2023,8:53:10,-104,,
5/26/2023,9:13:10,-114,,
5/26/2023,9:23:11,-115,,
5/26/2023,9:53:11,-99,,
5/26/2023,10:03:11,-119,,
5/26/2023,10:13:11,-108,,
5/26/2023,10:43:11,-99,,
5/26/2023,11:13:12,-114,,
5/26/2023,11:23:12,-113,,
5/26/2023,11:33:12,-114,,
5/26/2023,11:53:12,-117,,
5/26/2023,12:03:12,-91,,
5/26/2023,12:23:13,-105,,
5/26/2023,12:33:13,-100,,
5/26/2023,12:43:13,-114,,
5/26/2023,12:53:13,-102,,
5/26/2023,13:13:13,-112,,
5/26/2023,13:53:14,-114,,
5/26/2023,14:03:14,-108,,
5/26/2023,14:13:14,-115,,
5/26/2023,14:33:14,-114,,
5/26/2023,14:43:14,-101,,
5/26/2023,15:13:14,-113,,
5/26/2023,15:23:15,-113,,
5/26/2023,15:53:15,-115,,
5/26/2023,16:03:15,-113,,
5/26/2023,16:13:15,-106,,
5/26/2023,16:33:15,-114,,
5/26/2023,16:43:15,-117,,
5/26/2023,16:53:16,-104,,
5/26/2023,17:13:16,-118,,
5/26/2023,17:23:16,-115,,
5/26/2023,17:33:16,-96,,
5/26/2023,17:43:16,-117,,
5/26/2023,17:53:17,-117,,
5/26/2023,18:03:17,-115,,
5/26/2023,18:13:17,-114,,
5/26/2023,18:43:17,-120,,
5/26/2023,19:03:17,-114,,
5/26/2023,19:23:17,-113,,
5/26/2023,19:33:18,-105,,
5/26/2023,20:03:19,-96,,
5/26/2023,20:23:18,-97,,
5/26/2023,20:43:19,-113,,
5/26/2023,20:53:19,-110,,
5/26/2023,21:13:19,-118,,
5/26/2023,21:23:19,-108,,
5/26/2023,21:43:19,-99,,
5/26/2023,21:53:19,-113,,
5/26/2023,22:03:20,-113,,
5/26/2023,22:13:20,-115,,
5/26/2023,22:43:22,-113,,
5/26/2023,22:53:20,-102,,
5/26/2023,23:03:20,-105,,
5/26/2023,23:13:20,-112,,
5/26/2023,23:23:21,-107,,
5/26/2023,23:33:21,-112,,
5/27/2023,0:03:21,-112,,
5/27/2023,0:13:21,-93,,
5/27/2023,0:23:21,-117,,
5/27/2023,0:33:22,-113,,
5/27/2023,0:43:22,-119,,
5/27/2023,0:53:22,-113,,
5/27/2023,1:13:22,-112,,
5/27/2023,1:23:22,-104,,
5/27/2023,1:43:22,-112,,
5/27/2023,1:53:23,-113,,
5/27/2023,2:03:23,-115,,
5/27/2023,2:13:23,-113,,
5/27/2023,2:23:23,-90,,
5/27/2023,2:43:23,-108,,
5/27/2023,3:03:24,-105,,
5/27/2023,3:13:24,-115,,
5/27/2023,3:23:24,-119,,
5/27/2023,3:33:24,-113,,
5/27/2023,4:03:24,-99,,
5/27/2023,4:23:24,-105,,
5/27/2023,4:33:25,-114,,
5/27/2023,4:43:25,-117,,
5/27/2023,4:53:25,-109,,
5/27/2023,5:13:25,-114,,
5/27/2023,5:23:25,-119,,
5/27/2023,5:33:25,-94,,
5/27/2023,6:03:26,-117,,
5/27/2023,6:13:26,-109,,
5/27/2023,6:43:26,-91,,
5/27/2023,6:53:26,-90,,
5/27/2023,7:03:27,-99,,
5/27/2023,7:13:27,-111,,
5/27/2023,7:23:27,-117,,
5/27/2023,7:33:27,-99,,
5/27/2023,7:53:27,-115,,
5/27/2023,8:03:27,-112,,
5/27/2023,8:23:28,-111,,
5/27/2023,8:33:28,-111,,
5/27/2023,8:43:28,-115,,
5/27/2023,8:53:28,-112,,
5/27/2023,9:13:28,-115,,
5/27/2023,10:03:29,-111,,
5/27/2023,14:03:36,-110,,
5/27/2023,14:13:32,-106,,
5/27/2023,14:43:32,-115,,
5/27/2023,15:03:33,-114,,
5/27/2023,15:13:33,-117,,
5/27/2023,15:23:33,-112,,
5/27/2023,15:33:33,-112,,
5/27/2023,16:23:34,-100,,
5/27/2023,16:43:34,-110,,
5/27/2023,16:53:34,-114,,
5/27/2023,17:13:34,-113,,
